0,1,2,3,4,5,6,7,8,9,10,11,12,13
"[ 0.80052843 -0.57207405 -0.87944139  0.71987382  0.80419223  0.58175888
  0.        ]","[-0.97312227 -0.01325956 -0.12406585 -0.63795892  0.14820595 -0.806891
  0.        ]","[ 0.7795917  -0.54813224  0.32295752 -0.94404342  0.37687398  0.15730149
  0.        ]","[-0.42701194 -0.12016522  0.54850749  0.97867422  0.75484622 -0.41544196
  0.        ]","[-0.52849165  0.90864729 -0.59450163  0.56836004 -0.42575575  0.70744852
  0.        ]","[-0.66938731 -0.77775749  0.86974066  0.08077743  0.4649999  -0.18417421
  0.        ]","[-0.57516185 -0.19493832 -0.23589975 -0.62645565  0.09442276  0.74039991
  0.        ]","[-0.81512661 -0.71507228  0.7784086  -0.59569704 -0.9499952   0.34189723
  0.        ]","[-0.39576679  0.84161072  0.93664185  0.38028755  0.89454187 -0.36025045
  0.        ]","[ 0.16293517 -0.35613984  0.70744586 -0.32505525 -0.38868706 -0.55702199
  0.        ]","[ 0.96250663 -0.86465994  0.15165675 -0.72574546  0.88807805 -0.51290953
  0.        ]","[-0.43319333  0.70117932  0.6333108   0.41748432 -0.26122669 -0.56895409
  0.        ]","[-0.62718803  0.92482528  0.22043953 -0.13207764  0.80718869 -0.37691051
  0.        ]","[-0.61317309  0.01108711  0.53975698 -0.21567182  0.6182989   0.08080057
  0.        ]"
"[-0.48513869 -0.42538141  0.33662619 -0.13514541 -0.04372319  0.05098354
  0.43995764  0.57143939  0.67259036  0.06890836  0.87102176  0.60688901
  0.48293548  0.        ]","[ 0.36536714 -0.1534971  -0.42987131  0.06108135 -0.8462758   0.37289214
 -0.69455602 -0.80398752  0.19892074 -0.81211404  0.56100434  0.11263118
  0.19226359  0.        ]","[-0.88556016 -0.26853225 -0.06003603  0.60569969 -0.39823143  0.80624064
  0.57055226 -0.28586209  0.31736557  0.55606543  0.79883336  0.84959785
 -0.59014359  0.        ]","[ 0.55376707  0.46729396  0.29044373  0.64765018 -0.66886435  0.42013127
  0.66767624  0.3244082   0.05584496 -0.02971728 -0.29485946  0.57650414
  0.7239046   0.        ]",,,,,,,,,,
